week,家概啊,乞闭扁柯,弥历扁柯,弥绊扁柯,碍荐樊,券啦,荐免樊,荐免啊,荐涝樊,荐涝啊,积魂樊,犁硅搁利,拱啊瘤荐,market price,
06岿 1林 (2016.06.02 ~ 2016.06.08),1960,20.55714286,15.92857143,25.57142857,0.942857143,1171.53,7,620.5422,97,26397853,21087,354,93.89,83.384,
06岿 2林 (2016.06.09 ~ 2016.06.15),1824,22.54285714,18.72857143,27.45714286,1.442857143,1170.46,7,620.5422,97,26397853,21087,354,94,83.384,
06岿 3林 (2016.06.16 ~ 2016.06.22),1749,23.2,19.07142857,28.18571429,2.414285714,1171.95,7,620.5422,97,26397853,21087,354,94,83.384,
06岿 4林 (2016.06.23 ~ 2016.06.29),1748,22.75714286,18.67142857,27.47142857,4.685714286,1150,7,620.5422,97,26397853,21087,354,94,83.384,
06岿 5林 (2016.06.30 ~ 2016.07.06),1775,23.6,21.02857143,27.11428571,31.94285714,1149.8,7,620.5422,97,26397853,21087,354,94,83.384,
07岿 1林 (2016.07.07 ~ 2016.07.13),1817,25.35714286,21.61428571,30.22857143,1.914285714,1138.6,4,282.1676,24,5822674,21087,354,63.369,83.888,
07岿 2林 (2016.07.14 ~ 2016.07.20),1759,24.07142857,20.7,28.28571429,4.571428571,1136.35,4,282.1676,24,5822674,21087,354,63,83.888,
07岿 3林 (2016.07.21 ~ 2016.07.27),1803,26.84285714,23.14285714,31.42857143,1.885714286,1112.24,4,282.1676,24,5822674,21087,354,63,83.888,
07岿 4林 (2016.07.28 ~ 2016.08.03),1851,27.57142857,24.08571429,32.44285714,4.042857143,1115.27,4,282.1676,24,5822674,21087,354,63,83.888,
08岿 1林 (2016.08.04 ~ 2016.08.10),1839,28.11428571,23.71428571,33.7,1.142857143,1103.49,4,353.4214,33,9160378,21087,354,65.943,85.6,
08岿 2林 (2016.08.11 ~ 2016.08.17),1849,28.78571429,24.35714286,34.42857143,1.185714286,1115.57,4,353.4214,33,9160378,21087,354,66,85.6,
08岿 3林 (2016.08.18 ~ 2016.08.24),1961,27.85714286,23.47142857,33.48571429,0.585714286,1122.52,4,353.4214,33,9160378,21087,354,66,85.6,
08岿 4林 (2016.08.25 ~ 2016.08.31),2263,21.95714286,17.95714286,26.67142857,6.942857143,1116.45,4,353.4214,33,9160378,21087,354,66,85.6,
09岿 1林 (2016.09.01 ~ 2016.09.07),2849,23.54285714,20.22857143,28.04285714,8.014285714,1108.73,4,349.7567,75,18491605,21087,354,72.562,92.811,
09岿 2林 (2016.09.08 ~ 2016.09.13),2967,22.48571429,18.71428571,27.62857143,2.671428571,1126.06,4,349.7567,75,18491605,21087,354,73,92.811,
09岿 3林 (2016.09.19 ~ 2016.09.21),3034,20.41428571,16.94285714,24.52857143,13.9,1104.02,4,349.7567,75,18491605,21087,354,73,92.811,
09岿 4林 (2016.09.22 ~ 2016.09.28),2969,20.84285714,16.92857143,26.04285714,2.171428571,1101.91,4,349.7567,75,18491605,21087,354,73,92.811,
09岿 5林 (2016.09.29 ~ 2016.10.05),2991,20.04285714,17.05714286,23.8,12.01428571,1115.76,4,349.7567,75,18491605,21087,354,73,92.811,
10岿 1林 (2016.10.06 ~ 2016.10.12),3358,15.72857143,11.62857143,21.04285714,4.7,1136.41,11,874.8281,212,43425281,21087,354,121.784,89.764,
10岿 2林 (2016.10.13 ~ 2016.10.19),3404,16.17142857,11.84285714,22.14285714,2.685714286,1136.21,11,874.8281,212,43425281,21087,354,122,89.764,
10岿 3林 (2016.10.20 ~ 2016.10.26),3387,15.31428571,11.77142857,19.55714286,2.414285714,1147.32,11,874.8281,212,43425281,21087,354,122,89.764,
10岿 4林 (2016.10.27 ~ 2016.11.02),3223,9.357142857,4.971428571,13.98571429,0.957142857,1141.45,11,874.8281,212,43425281,21087,354,122,89.764,
11岿 1林 (2016.11.03 ~ 2016.11.09),2658,9.957142857,4.957142857,15.62857143,0.728571429,1165.58,21,1726.0058,375,84169761,21087,354,123.089,87.833,
11岿 2林 (2016.11.10 ~ 2016.11.16),2420,9.942857143,4.428571429,15.98571429,1.328571429,1181.08,21,1726.0058,375,84169761,21087,354,123,87.833,
11岿 3林 (2016.11.17 ~ 2016.11.23),2396,9.142857143,4.7,14.1,2.157142857,1175.77,21,1726.0058,375,84169761,21087,354,123,87.833,
11岿 4林 (2016.11.24 ~ 2016.11.30),2438,3,-1.242857143,7.928571429,0.742857143,1167.32,21,1726.0058,375,84169761,21087,354,123,87.833,
12岿 1林 (2016.12.01 ~ 2016.12.07),2381,4.3,-1.128571429,10.17142857,0.042857143,1172.89,53,5374.4654,222,58247187,21087,354,102.393,89.412,
12岿 2林 (2016.12.08 ~ 2016.12.14),2481,2.857142857,-2.142857143,8.314285714,0.8,1186.58,53,5374.4654,222,58247187,21087,354,102,89.412,
12岿 3林 (2016.12.15 ~ 2016.12.21),2834,4.057142857,-0.671428571,9.071428571,4.185714286,1200.36,53,5374.4654,222,58247187,21087,354,102,89.412,
12岿 4林 (2016.12.22 ~ 2016.12.28),2987,2.557142857,-1.128571429,6.928571429,3.928571429,1207.26,53,5374.4654,222,58247187,21087,354,102,89.412,
12岿 5林 (2016.12.29 ~ 2017.01.04),3014,2.157142857,-2.528571429,7.871428571,0.028571429,1202,53,5374.4654,222,58247187,21087,354,102,89.412,
01岿 1林 (2017.01.05 ~ 2017.01.11),3064,3.4,-1,8,0.557142857,1175,57,5264.4218,262,60989284,24145,420.7115385,118.023,93.827,
01岿 2林 (2017.01.12 ~ 2017.01.18),2722,-2.214285714,-7.014285714,3.471428571,0.071428571,1175.39,57,5264.4218,262,60989284,24145,420.7115385,118,93.827,
01岿 3林 (2017.01.19 ~ 2017.01.25),2543,-3.171428571,-7.871428571,2,0.657142857,1178.82,57,5264.4218,262,60989284,24145,420.7115385,118,93.827,
