week,소매가,평균기온,최저기온,최고기온,강수량,환율,수출량,수출가,수입량,수입가,생산량,재배면적,물가지수
11월 3주 (2016.11.17 ~ 2016.11.23),"25,442",9.142857143,4.7,14.1,2.157142857,1175.77,6965.25,60885604.5,1,36022,5305375,670.4375,89.764
11월 4주 (2016.11.24 ~ 2016.11.30),"23,577",3,-1.242857143,7.928571429,0.742857143,1167.32,6965.25,60885604.5,1,36022,5305375,670.4375,89.764
12월 1주 (2016.12.01 ~ 2016.12.07),"19,771",4.3,-1.128571429,10.17142857,0.042857143,1172.89,6694,58464675,,,5305375,670.4375,87.833
12월 2주 (2016.12.08 ~ 2016.12.14),"20,960",2.857142857,-2.142857143,8.314285714,0.8,1186.58,6694,58464675,,,5305375,670.4375,87.833
12월 3주 (2016.12.15 ~ 2016.12.21),"23,571",4.057142857,-0.671428571,9.071428571,4.185714286,1200.36,6694,58464675,,,5305375,670.4375,87.833
12월 4주 (2016.12.22 ~ 2016.12.28),"26,993",2.557142857,-1.128571429,6.928571429,3.928571429,1207.26,6694,58464675,,,5305375,670.4375,87.833
12월 5주 (2016.12.29 ~ 2017.01.04),"27,898",2.157142857,-2.528571429,7.871428571,0.028571429,1202,6694,58464675,,,5305375,670.4375,89.412
01월 1주 (2017.01.05 ~ 2017.01.11),"24,776",3.4,-1,8,0.557142857,1175,5253.5,48569298.75,,,5040541.668,590.3541668,89.412
01월 2주 (2017.01.12 ~ 2017.01.18),"22,148",-2.214285714,-7.014285714,3.471428571,0.071428571,1175.39,5253.5,48569298.75,,,5040541.668,590.3541668,89.412
01월 3주 (2017.01.19 ~ 2017.01.25),"20,095",-3.171428571,-7.871428571,2,0.657142857,1178.82,5253.5,48569298.75,,,5040541.668,590.3541668,89.412
01월 4주 (2017.01.26 ~ 2017.02.01),"20,266",-0.1,-5.528571429,5.5,0.9,1138.52,5253.5,48569298.75,,,5040541.668,590.3541668,89.412
02월 1주 (2017.02.02 ~ 2017.02.08),"19,437",1.557142857,-3.242857143,6.914285714,0.271428571,1146.6,8125.25,66813040,,,5040541.668,590.3541668,93.827
